,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\0_adduction_001.csv
0,[]
1,"[   6   10   14   17   19   24   27   31   35   42   46   50   54   56
   58   61   63   66   71   76   81  152  250  258  264  269  271  274
  278  284  288  292  298  303  389  477  482  604  721  723  764  770
  776  781  788  791  795  797  805  807  811  875  897  988  993 1007
 1015 1018 1024 1027 1030 1034 1038 1043 1045 1047 1051 1054 1058 1062
 1068 1070 1073 1078 1156 1246 1256 1260 1264 1269 1275 1277 1283 1288
 1291 1295 1298 1304 1306 1309 1311 1313 1318 1321 1324 1326 1329 1332
 1336 1340 1345 1351 1355 1360 1362 1368 1377 1379 1382 1386 1388 1390
 1395]"
