,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\0ing_toe_in_001.csv
0,"[  36   96  149  244  305  389  457  544  623  777  858  923  973 1023
 1121 1173 1266 1327 1377 1478 1529 1583 1637 1744 1837 1938 2021 2158
 2225 2324 2375 2499 2640 2694 2790 2875 2956 3010 3116 3170 3321 3494
 3590 3669 3741 3819 3886 3968 4047 4127 4182 4244 4298 4360 4471 4521
 4614 4680 4775 4830 4922 5072 5138 5204 5254 5355 5454 5508 5558 5654
 5740 5802 5857 5948 6005 6102 6157 6337 6419 6519 6627 6692 6795 6864
 6925 7022 7125 7182 7258 7311 7412 7491 7541 7645 7712 7859 7917 8026
 8077 8199 8287 8361 8463 8547 8646 8726 8784 8844]"
1,"[   5   10   13   18   21   25   39   49   90  117  119  128  148  166
  174  176  237  254  262  266  272  303  330  344  346  349  363  417
  422  428  431  436  449  454  477  481  485  496  523  578  592  603
  618  625  640  672  771  773  776  780  784  790  794  890  915  924
  928  934  942  971  974  976  985  991  993 1002 1048 1071 1074 1082
 1091 1103 1109 1113 1145 1147 1160 1198 1221 1225 1232 1239 1247 1250
 1260 1264 1269 1272 1275 1281 1283 1286 1290 1293 1295 1298 1313 1359
 1374 1379 1439 1516 1527 1531 1536 1545 1547 1552 1566 1580 1585 1587
 1594 1597 1601 1603 1661 1685 1696 1710 1719 1722 1745 1812 1844 1853
 1863 1866 2020 2024 2030 2037 2041 2143 2183 2187 2217 2220 2253 2256
 2258 2263 2292 2341 2346 2351 2374 2377 2392 2455 2503 2509 2516 2520
 2524 2536 2540 2544 2610 2653 2659 2665 2674 2681 2692 2708 2712 2716
 2722 2725 2760 2763 2807 2818 2827 2837 2850 2855 2862 2892 2894 2923
 2976 2986 3008 3014 3016 3044 3050 3052 3054 3056 3071 3084 3091 3136
 3148 3153 3160 3166 3173 3175 3203 3247 3294 3298 3302 3308 3313 3317
 3331 3340 3394 3478 3495 3497 3499 3503 3505 3620 3635 3648 3651 3657
 3670 3704 3769 3784 3790 3801 3820 3863 3866 3879 3919 3942 3952 3960
 3969 4077 4093 4096 4098 4101 4108 4112 4121 4125 4128 4131 4171 4174
 4176 4190 4232 4247 4250 4267 4282 4299 4318 4321 4326 4330 4344 4383
 4403 4407 4439 4443 4474 4482 4539 4586 4605 4617 4713 4739 4746 4759
 4761 4769 4776 4921 5024 5062 5073 5075 5095 5101 5110 5137 5145 5178
 5223 5240 5253 5256 5279 5330 5372 5378 5381 5394 5399 5401 5403 5405
 5433 5460 5470 5478 5522 5528 5535 5550 5556 5561 5565 5576 5581 5585
 5588 5605 5628 5669 5671 5678 5684 5734 5742 5747 5771 5774 5850 5855
 5859 5866 5878 5917 5966 5971 5995 6002 6008 6016 6022 6031 6034 6071
 6127 6133 6137 6140 6143 6149 6156 6160 6162 6227 6313 6327 6332 6338
 6437 6458 6463 6474 6477 6549 6552 6586 6603 6612 6617 6625 6628 6671
 6700 6708 6738 6764 6768 6782 6786 6796 6820 6826 6897 6912 6919 6927
 6981 6983 6987 7006 7048 7065 7074 7088 7091 7126 7201 7226 7233 7242
 7246 7250 7259 7284 7288 7296 7303 7316 7359 7381 7413 7522 7524 7534
 7540 7546 7568 7582 7710 7733 7751 7755 7844 7883 7889 7892 7903 7916
 7922 7929 7956 7995 8040 8067 8076 8086 8089 8091 8097 8140 8193 8200
 8207 8225 8232 8236 8279 8290 8359 8392 8400 8403 8405 8408 8423 8474
 8480 8486 8493 8501 8509 8512 8520 8525 8543 8549 8553 8574 8590 8619
 8653 8675 8682 8716 8752 8779 8794 8807 8826 8829 8847 8855 8859 8864
 8866]"
