,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\1ng_toe_out_001.csv
0,"[ 103  168  264  319  417  552  694  855 1000 1149 1290 1431 1577 1723
 1866 2011 2064 2166 2333 2383 2489 2634 2687 2781 2926 3076 3224 3374
 3429 3548 3598 3702 3843 3986 4129 4275 4422 4568 4628 4714 4765 4884
 4936 5037 5184 5334 5478 5531 5622 5767 5910 6058 6112 6221 6378 6527
 6577 6671 6812 6954 7098 7151 7240 7290 7398 7556 7606 7708 7858 8007
 8154 8209 8260 8320 8381]"
1,"[  53   80   95  116  139  154  161  175  217  297  371  512  653  808
  877  887  960 1100 1137 1247 1280 1387 1422 1462 1476 1528 1568 1677
 1714 1761 1822 1858 1896 1966 2035 2042 2061 2120 2191 2199 2210 2282
 2321 2380 2440 2480 2533 2591 2625 2675 2684 2734 2799 2820 2880 2916
 3028 3068 3178 3216 3266 3327 3364 3425 3493 3581 3591 3602 3662 3802
 3880 3940 3978 4081 4119 4231 4268 4320 4378 4415 4448 4457 4464 4518
 4557 4607 4625 4668 4748 4756 4770 4834 4929 4988 5028 5083 5139 5176
 5225 5286 5324 5378 5436 5528 5581 5724 5866 5903 5949 6010 6049 6099
 6109 6174 6251 6261 6332 6370 6415 6421 6480 6519 6574 6628 6664 6765
 6802 6909 6946 6985 6997 7050 7088 7129 7150 7196 7232 7253 7274 7283
 7346 7432 7439 7507 7605 7664 7699 7808 7959 8096 8149 8181 8251 8284
 8313 8347 8375]"
